Lot,Action,CurrentBid,MaxBid,Headroom,SoldMedian,SoldCount,Gun,MatchNote
10,PASS,350,189.11,-160.89,325,45,"Radical Firearms RF-15 5.56 NATO Rifle with Pine Ridge 4-12x50 Rifle Scope and Laser in Heavy-Duty Plano Rustrictor Hard Case","auto: RADICAL FIREARMS RF-15 5.56MM NATO (Used, score 95) - 45 sold, 13 asking"
11,BID,325,349.51,24.51,549,23,"Ruger New Model Super Blackhawk 44 Mag Revolver in Gun Locker Hard Case","auto: RUGER NEW MODEL SUPER BLACKHAWK BISLEY .44 MAG. (Used, score 88) - 23 sold, 146 asking"
12,NO COMPS,425,,,,,"Arthemis Silah Sanayi 12 Gauge Side-by-Side Double Barrel Shotgun - Engraved & Hand-Carved Stock","no catalog match for this manufacturer/model"
13,NO COMPS,275,,,,,"Leopar SIL SAN 870 12-Gauge Semi-Automatic Shotgun - Engraved Turkish Walnut","no catalog match for this manufacturer/model"
14,NO COMPS,500,,,,,"Alpha Foxtrot Romulus 9mm Pistol w/ Osight SE Enclosed Red Dot, (2) Magazines and Factory Bag","no catalog match for this manufacturer/model"
15,PASS,625,305.95,-319.05,525.5,40,"Shadow Systems DR920 Elite 9mm Pistol with Holosun HS507C X2, (3) Magazines & Bag","auto: SHADOW SYSTEMS DR920 9MM LUGER (Used, score 69) - 40 sold, 455 asking"
17,BID,325,604.81,279.81,932.5,150,"Winchester 9422 Lever-Action Rifle","auto: WINCHESTER 9422 .22 LR (Used, score 85) - 150 sold, 5 asking"
18,BID,350,413.95,63.95,734,80,"Marlin Original Golden 39A Rifle","auto: MARLIN 39 .22 LR (Used, score 85) - 80 sold, 2 asking"
19,BID,175,213.71,38.71,430,81,"Winchester U.S. Model of 1917 Bolt-Action Rifle","auto: WINCHESTER 1917 .30-06 (Used, score 85) - 81 sold, 4 asking"
20,NO COMPS,300,,,,,"American Tactical FX45 GI .45 ACP Pistol","no catalog match for this manufacturer/model"
21,PASS,175,114.72,-60.28,245,158,"Beretta APX 9mm Pistol","auto: BERETTA APX 9MM LUGER (Used, score 75) - 158 sold, 835 asking"
22,NO COMPS,150,,,,,"Bond Arms Stinger Honey-B 9mm Pistol","no catalog match for this manufacturer/model"
23,PASS,200,110.54,-89.46,228,25,"Canik TP9SA 9mm Pistol","auto: CANIK TP9SA 9MM LUGER (Used, score 88) - 25 sold, 3 asking"
24,PASS,175,118.48,-56.52,220,13,"Rossi Brawler .410/.45LC Pistol","auto: ROSSI BRAWLER 410 BORE (New, score 75) - 13 sold, 95 asking"
25,NO COMPS,325,,,,,"Chiappa Empire 1911 Nebula .45 ACP Pistol","no catalog match for this manufacturer/model"
26,BID,325,363.29,38.29,675,71,"CZ Model 75 9mm Pistol","auto: CZ-USA CZ 75 9MM LUGER (Used, score 95) - 71 sold, 377 asking"
27,NO COMPS,225,,,,,"Double Tap Defense 9mm Pocket Pistol","no catalog match for this manufacturer/model"
28,PASS,375,248.63,-126.37,415,551,"Glock 19 Gen 4 9mm Pistol","auto: GLOCK G19 9MM LUGER (Used, score 98) - 551 sold, 256 asking"
29,PASS,225,188.32,-36.68,330,11,"Palmetto State Armory PA-15 7.62x39 Pistol","auto: PALMETTO STATE ARMORY (PSA) PA-15 7.62X39 (Used, score 95) - 11 sold, 0 asking"
30,NO COMPS,325,,,,,"RIA M1911 A1-FS 10mm Pistol","no catalog match for this manufacturer/model"
31,NO COMPS,275,,,,,"RIA M1911 A1-CS .45 ACP Pistol","no catalog match for this manufacturer/model"
32,NO COMPS,175,,,,,"Rossi RS22P .22 LR Pistol","no catalog match for this manufacturer/model"
33,PASS,175,71.86,-103.14,177.5,18,"Ruger Security-9 Compact 9mm Pistol","auto: RUGER SECURITY-9 COMPACT 9MM LUGER (Used, score 88) - 18 sold, 9 asking"
34,PASS,375,353.57,-21.43,551,173,"Ruger SR-1911 .45 ACP Pistol","auto: RUGER SR1911 .45 ACP (Used, score 75) - 173 sold, 763 asking"
35,PASS,125,66.31,-58.69,165,102,"Ruger LC9 9mm Pistol","auto: RUGER LC9 9MM LUGER (Used, score 84) - 102 sold, 0 asking"
36,PASS,125,34.76,-90.24,121,175,"SCCY CPX-2 9mm Pistol","auto: SCCY CPX-2 9MM LUGER (Used, score 84) - 175 sold, 2 asking"
37,PASS,300,268.47,-31.53,450,119,"Sig Sauer P365 X 9mm Pistol","auto: SIG SAUER P365-XL 9MM LUGER (Used, score 69) - 119 sold, 8232 asking"
38,NO COMPS,250,,,,,"Sig Sauer P938 9mm Pistol","no catalog match for this manufacturer/model"
39,NO COMPS,250,,,,,"Sig Sauer P365-9-BXR3 9mm Pistol","no catalog match for this manufacturer/model"
40,NO COMPS,200,,,,,"Sig Sauer P320 9mm Pistol","no catalog match for this manufacturer/model"
41,NO COMPS,200,,,,,"Sig Sauer P365 9mm Pistol","no catalog match for this manufacturer/model"
42,NO COMPS,300,,,,,"Sig Sauer P938 9mm Pistol","no catalog match for this manufacturer/model"
43,NO COMPS,300,,,,,"Sig Sauer P226 .40 S&W Pistol","no catalog match for this manufacturer/model"
44,NO COMPS,250,,,,,"Sig Sauer P238 Nightmare .380 ACP Pistol","no catalog match for this manufacturer/model"
45,NO COMPS,275,,,,,"Sig Sauer P365 9mm Pistol","no catalog match for this manufacturer/model"
46,NO COMPS,175,,,,,"Smith & Wesson M&P357C Pistol","no catalog match for this manufacturer/model"
47,PASS,225,106.78,-118.22,230,42,"Smith & Wesson M&P9 Shield Pistol","auto: SMITH & WESSON M&P9 SHIELD 9MM LUGER (Used, score 74) - 42 sold, 0 asking"
48,PASS,250,201.81,-48.19,362,350,"Springfield Armory Hellcat 9mm Pistol","auto: SPRINGFIELD HELLCAT 9MM LUGER (Used, score 75) - 350 sold, 320 asking"
49,PASS,175,54.99,-120.01,151,200,"Taurus Firearms G3C 9mm Pistol","auto: TAURUS G3C 9MM LUGER (Used, score 75) - 200 sold, 112 asking"
50,PASS,125,101.02,-23.98,220,27,"Taurus PT-25 SS .25 Auto Pistol","auto: TAURUS PT-25 .25 ACP (6.5MM) (Used, score 85) - 27 sold, 0 asking"
51,PASS,175,54.99,-120.01,151,200,"Taurus G3C 9x19mm Pistol","auto: TAURUS G3C 9MM LUGER (Used, score 65) - 200 sold, 112 asking"
52,NO COMPS,100,,,,,"Taurus G2S .40 S&W Pistol","no catalog match for this manufacturer/model"
53,PASS,125,46.26,-78.74,135,405,"Taurus G2C 9mm Pistol","auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
54,PASS,200,46.26,-153.74,135,405,"Taurus G2C FDE 9x19mm Pistol","auto: TAURUS G2C 9MM LUGER (Used, score 65) - 405 sold, 248 asking"
55,PASS,125,46.26,-78.74,135,405,"Taurus Firearms G2C 9mm Pistol","auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
56,PASS,100,46.26,-53.74,135,405,"Taurus G2C 9mm Pistol","auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
57,NO COMPS,125,,,,,"Taurus G2C931-12 9x19mm Pistol","no catalog match for this manufacturer/model"
58,PASS,125,54.99,-70.01,151,200,"Taurus G3C 9mm Pistol","auto: TAURUS G3C 9MM LUGER (Used, score 75) - 200 sold, 112 asking"
59,NO COMPS,200,,,,,"Walther Arms WMP 22WMR Pistol","no catalog match for this manufacturer/model"
60,NO COMPS,125,,,,,"Arminius Firearms HW5 .22 LR Revolver","no catalog match for this manufacturer/model"
61,NO COMPS,150,,,,,"Charter Arms Bulldog .38 S&W Revolver","no catalog match for this manufacturer/model"
62,NO COMPS,125,,,,,"Heritage Firearms BK22B3 .22 LR Revolver","no catalog match for this manufacturer/model"
63,PASS,125,75.63,-49.37,180,41,"North American Arms NAA-22 Mini Revolver","auto: NORTH AMERICAN ARMS (NAA) 22 MAGNUM .22 LR (Used, score 85) - 41 sold, 23 asking"
64,PASS,175,159.35,-15.65,285,23,"North American Arms NAA-22M .22 WMR Mini Revolver","auto: NORTH AMERICAN ARMS (NAA) 22 MAGNUM .22 WMR (New, score 95) - 23 sold, 58 asking"
65,PASS,275,238.71,-36.29,405,63,"Ruger New Model Single-Six .22 LR Revolver","auto: RUGER NEW MODEL SINGLE-SIX CONVERTIBLE .22 LR (Used, score 88) - 63 sold, 160 asking"
66,BID,325,353.57,28.57,556,365,"Ruger GP-100 .357 Magnum Revolver","auto: RUGER GP100 DELUXE .357 MAG. (Used, score 75) - 365 sold, 452 asking"
67,PASS,275,218.47,-56.53,365,133,"Taurus 66 Stainless Steel .357 Magnum Revolver","auto: TAURUS 66 .357 MAG. (Used, score 95) - 133 sold, 339 asking"
68,PASS,225,149.43,-75.57,280,127,"Taurus M605 .357 Mag Revolver","auto: TAURUS 605 .357 MAG. (Used, score 95) - 127 sold, 382 asking"
69,PASS,250,149.43,-100.57,280,127,"Taurus Model 605 .357 Mag Revolver","auto: TAURUS 605 .357 MAG. (Used, score 95) - 127 sold, 382 asking"
70,NO COMPS,90,,,,,"Churchill Akkar Model 612 12-Gauge Shotgun","no catalog match for this manufacturer/model"
71,NO COMPS,150,,,,,"Glenfield Firearms Model 50 12-Gauge Bolt-Action Shotgun","no catalog match for this manufacturer/model"
72,NO COMPS,675,,,,,"Henry Repeating Arms Axe .410 Brass Lever-Action Firearm","no catalog match for this manufacturer/model"
73,NO COMPS,175,,,,,"JTS Firearms M12AK 12-Gauge Shotgun","no catalog match for this manufacturer/model"
74,PASS,225,103.8,-121.2,240,55,"Mossberg 500 12-Gauge Pump-Action Shotgun","auto: MOSSBERG 500 12 GAUGE (Used, score 95) - 55 sold, 954 asking"
75,NO COMPS,225,,,,,"Pardus AS 12-Gauge Shotgun","no catalog match for this manufacturer/model"
76,BID,350,356.81,6.81,630,235,"Remington Arms 1100 12-Gauge Shotgun","auto: REMINGTON 1100 12 GAUGE (Used, score 95) - 235 sold, 38 asking"
77,PASS,85,34.96,-50.04,108.5,12,"Savage Arms Stevens 320 12-Gauge Pump-Action Shotgun","auto: SAVAGE 320 12 GAUGE (Used, score 95) - 12 sold, 126 asking"
78,NO COMPS,300,,,,,"Stoeger Arms Condor 12-Gauge O/U Shotgun","no catalog match for this manufacturer/model"
79,NO COMPS,125,,,,,"Sun City Machinery 320 12-Gauge Pump-Action Shotgun","no catalog match for this manufacturer/model"
80,NO COMPS,200,,,,,"Tokarev Bullpup M 12-Gauge Semi-Auto Shotgun","no catalog match for this manufacturer/model"
81,NO COMPS,200,,,,,"Tokarev TBP 12-Gauge Semi-Auto Shotgun","no catalog match for this manufacturer/model"
82,NO COMPS,200,,,,,"Archangel 556 .22 LR Rifle","no catalog match for this manufacturer/model"
83,NO COMPS,200,,,,,"Kel-Tec SUB 2K40 .40 S&W Rifle","no catalog match for this manufacturer/model"
84,PASS,350,153.4,-196.6,280,154,"Kel-Tec SUB2000 Gen 3 9mm Rifle","auto: KELTEC SUB-2000 9MM LUGER (Used, score 95) - 154 sold, 110 asking"
85,PASS,75,40.31,-34.69,125,23,"Mossberg 702 Plinkster .22 LR Rifle","auto: MOSSBERG 702 PLINKSTER .22 LR (Used, score 95) - 23 sold, 4 asking"
86,NO COMPS,300,,,,,"Remington Sportsman 74 .30-06 Springfield Rifle","no catalog match for this manufacturer/model"
87,PASS,300,268.47,-31.53,466.5,326,"Remington 742 Woodsmaster .30-06 Springfield Rifle","auto: REMINGTON 742 .30-06 (Used, score 95) - 326 sold, 31 asking"
88,PASS,325,317.1,-7.9,564,136,"Ruger American Predator .308 Winchester Rifle","auto: RUGER AMERICAN PREDATOR .308 WIN. (New, score 88) - 136 sold, 86 asking"
89,PASS,375,313.04,-61.96,507,45,"Ruger LC Carbine 5.7x28 Semi-Auto Rifle","auto: RUGER LC CARBINE 5.7X28MM (Used, score 69) - 45 sold, 345 asking"
90,NO COMPS,550,,,,,"Ruger Precision Bolt-Action Rifle 6.5 Creedmoor","no catalog match for this manufacturer/model"
91,BID,275,750.7,475.7,1100,15,"Savage Arms 110 Ultralite 7mm Rifle","auto: SAVAGE 110 FCP HS PRECISION .338 LAPUA (Used, score 85) - 15 sold, 0 asking"
92,NO COMPS,50,,,,,"Savage Arms 187N 22 S,L,LR Rifle","no catalog match for this manufacturer/model"
93,PASS,300,243.87,-56.13,405,11,"Smith & Wesson M&P 15 5.56 NATO Rifle","auto: SMITH & WESSON M&P15 .223 REM. (Used, score 98) - 11 sold, 2 asking"
94,NO COMPS,300,,,,,"Smith & Wesson T/C Compass 6.5 Creedmoor Rifle","no catalog match for this manufacturer/model"
95,NO COMPS,80,,,,,"Stevens Firearms Model 62 .22 LR Rifle","no catalog match for this manufacturer/model"
96,PASS,500,400.57,-99.43,645,429,"Marlin 336W .30-30 Win Lever-Action Rifle","auto: MARLIN 336 .30-30 WIN. (Used, score 95) - 429 sold, 39 asking"
97,BID,625,704.09,79.09,1075,31,"Weatherby Mark V .22-250 Rifle","auto: WEATHERBY MARK V .257 WBY. MAG. (Used, score 78) - 31 sold, 593 asking"
98,BID,300,402.2,102.2,795,371,"Winchester Model 70 .30-06 Springfield Rifle","auto: WINCHESTER 70 .30-06 (Used, score 95) - 371 sold, 68 asking"
99,PASS,550,406.25,-143.75,680.5,846,"Winchester Model 94 AE .30-30 Winchester Lever-Action Rifle","auto: WINCHESTER 94 .30-30 WIN. (Used, score 95) - 846 sold, 67 asking"
100,PASS,225,162.13,-62.87,328.5,22,"Winchester 1400 MK II 20-Gauge Shotgun","auto: WINCHESTER 1400 20 GAUGE (Used, score 95) - 22 sold, 0 asking"
101,PASS,225,204.98,-20.02,368.5,82,"Remington Model 870 12-Gauge Shotgun","auto: REMINGTON 870 12 GAUGE (Used, score 95) - 82 sold, 19 asking"
102,BID,300,351.54,51.54,640,55,"Remington Sportsman 12-Gauge Shotgun","auto: REMINGTON 11-87 SPORTSMAN 12 GAUGE (Used, score 75) - 55 sold, 3 asking"
103,PASS,350,258.55,-91.45,495,31,"Remington 11-48 16-Gauge Shotgun","auto: REMINGTON 11 16 GAUGE (Used, score 95) - 31 sold, 1 asking"
104,NO COMPS,350,,,,,"Browning Model 32 12-Gauge Shotgun","no catalog match for this manufacturer/model"
105,BID,425,534.1,109.1,873.5,32,"Browning Auto-5 12-Gauge Shotgun","auto: BROWNING AUTO-5 LIGHT TWENTY 12 GAUGE (Used, score 84) - 32 sold, 0 asking"
106,NO COMPS,325,,,,,"Sears, Roebuck, & Co 20-Gauge Shotgun","no catalog match for this manufacturer/model"
107,PASS,225,169.27,-55.73,360,89,"Ithaca Model 37 12-Gauge Shotgun","auto: ITHACA GUN CO. 37 12 GAUGE (Used, score 95) - 89 sold, 3 asking"
108,BID,175,241.09,66.09,453.5,30,"Ithaca Model 37 20-Gauge Shotgun","auto: ITHACA GUN CO. 37 20 GAUGE (Used, score 95) - 30 sold, 1 asking"
109,NO COMPS,75,,,,,"Stevens Model 620 20-Gauge Shotgun","no catalog match for this manufacturer/model"
110,PASS,125,50.23,-74.77,176,9,"Smith & Wesson Model 916A 12-Gauge Shotgun","auto: SMITH & WESSON 916 12 GAUGE (Used, score 95) - 9 sold, 0 asking"
111,PASS,350,195.46,-154.54,362.5,74,"Remington Model 740 30-06 SPRG Rifle","auto: REMINGTON 740 .30-06 (Used, score 95) - 74 sold, 3 asking"
113,NO COMPS,200,,,,,"Swiss Model 925 Rifle","no catalog match for this manufacturer/model"
114,NO COMPS,150,,,,,"Thompson/Center Arms Renegade .50 Cal Black Powder Percussion Rifle","no catalog match for this manufacturer/model"
115,NO COMPS,95,,,,,"Linberta PA 101 12-Gauge Shotgun","no catalog match for this manufacturer/model"
116,NO COMPS,150,,,,,"Roma Model 816 Rifle","no catalog match for this manufacturer/model"
117,PASS,275,193.08,-81.92,355,19,"DPMS A-15 223/5.56 Rifle","auto: DPMS A-15 .223 REM. (Used, score 93) - 19 sold, 3 asking"
118,PASS,50,41.5,-8.5,135.5,80,"Raven Arms M6-25 Auto Pistol","auto: RAVEN ARMS MP-25 .25 ACP (6.5MM) (Used, score 83) - 80 sold, 1 asking"
119,NO COMPS,325,,,,,"Ruger P90DC 45ACP Pistol","no catalog match for this manufacturer/model"
120,BID,375,702.47,327.47,1000,26,"Ruger Charger 22LR Pistol","auto: RUGER 22 CHARGER .22 HORNET (Used, score 75) - 26 sold, 0 asking"
121,PASS,275,204.98,-70.02,353,109,"Tisas ZIG M1911 45ACP Pistol","auto: TISAS 1911 .45 ACP (Used, score 95) - 109 sold, 1355 asking"
122,PASS,275,204.98,-70.02,353,109,"Tisas ZIG M1911 45ACP Pistol","auto: TISAS 1911 .45 ACP (Used, score 95) - 109 sold, 1355 asking"
123,PASS,175,78.01,-96.99,190,37,"Smith & Wesson SW40VE 40S&W Pistol","auto: SMITH & WESSON 40 .40 S&W (Used, score 95) - 37 sold, 1 asking"
124,PASS,150,117.69,-32.31,242,237,"Taurus Model 85 30 SPL Revolver","auto: TAURUS 85 .38 SPL. (Used, score 85) - 237 sold, 6 asking"
125,NO COMPS,275,,,,,"Stevens Model 59A 410 Shotgun","no catalog match for this manufacturer/model"
126,NO COMPS,150,,,,,"Iver Johnson US Carbine 22LR Rifle","no catalog match for this manufacturer/model"
127,NO COMPS,95,,,,,"Sears 10140B 20 Gauge Shotgun","no catalog match for this manufacturer/model"
128,BID,65,361.67,296.67,550,11,"Springfield Model 15 22 S,L,LR Rifle","auto: SPRINGFIELD SAINT AR-15 5.56MM NATO (Used, score 85) - 11 sold, 23 asking"
