Lot,Label,Category,Bid,MaxBid,Headroom,Verdict,SoldCount,P25,Median,Net,MatchNote,Error
23,"Canik TP9SA 9mm",handgun,200,113.86,-86.14,NO-GO,25,201,228,-49.06,"auto: CANIK TP9SA 9MM LUGER (Used, score 88) - 25 sold, 3 asking",""
96,"Marlin 336W . Win Lever-Action .30-30",handgun,500,412.59,-87.41,NO-GO,429,563,645,-50.52,"auto: MARLIN 336 .30-30 WIN. (Used, score 95) - 429 sold, 39 asking",""
36,"Sccy CPX-2 9mm",handgun,125,35.8,-89.2,NO-GO,175,105.5,121,-52.58,"auto: SCCY CPX-2 9MM LUGER (Used, score 84) - 175 sold, 2 asking",""
123,"Smith & Wesson SW40VE .40 S&W",handgun,175,80.35,-94.65,NO-GO,37,160,190,-58.85,"auto: SMITH & WESSON 40 .40 S&W (Used, score 95) - 37 sold, 1 asking",""
33,"Ruger Security-9 Compact 9mm",handgun,175,74.02,-100.98,NO-GO,18,152.25,177.5,-66.13,"auto: RUGER SECURITY-9 COMPACT 9MM LUGER (Used, score 88) - 18 sold, 8 asking",""
47,"Smith & Wesson M&P9 Shield",handgun,225,109.98,-115.02,NO-GO,42,196.25,230,-82.27,"auto: SMITH & WESSON M&P9 SHIELD 9MM LUGER (Used, score 74) - 42 sold, 0 asking",""
74,"Mossberg 500 Pump-Action 12ga",handgun,225,106.91,-118.09,NO-GO,55,192.5,240,-85.8,"auto: MOSSBERG 500 12 GAUGE (Used, score 95) - 55 sold, 950 asking",""
28,"Glock 19 Gen 4 9mm",handgun,375,256.09,-118.91,NO-GO,550,375,415,-86.75,"auto: GLOCK G19 9MM LUGER (Used, score 98) - 550 sold, 232 asking",""
111,"Remington 740 SPRG .30-06",handgun,325,201.32,-123.68,NO-GO,74,308,362.5,-92.23,"auto: REMINGTON 740 .30-06 (Used, score 95) - 74 sold, 3 asking",""
99,"Winchester 94 AE . Winchester Lever-Action .30-30",handgun,550,418.43,-131.57,NO-GO,846,570,680.5,-101.3,"auto: WINCHESTER 94 .30-30 WIN. (Used, score 95) - 846 sold, 65 asking",""
191,"Browning Takedown 22",handgun,375,225.64,-149.36,NO-GO,32,337.75,378,-121.76,"auto: BROWNING 1911-22 .22 LR (Used, score 85) - 32 sold, 1919 asking",""
